Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,Talk Duration,Satisfaction rating
ID0001,Darshan,01-01-2025,09:12:58,Contract related,Y,Y,109,143,3
ID0002,Bhaskar,01-01-2025,09:12:58,Technical Support,Y,N,70,242,3
ID0003,Sonal,01-01-2025,09:47:31,Contract related,Y,Y,10,131,3
ID0004,Gopal,01-01-2025,09:47:31,Contract related,Y,Y,53,37,2
ID0005,Bhaskar,01-01-2025,10:00:29,Payment related,Y,Y,95,60,3
ID0006,Sonal,01-01-2025,10:00:29,Technical Support,N,N,,0,
ID0007,Darshan,01-01-2025,10:22:05,Payment related,Y,Y,24,220,2
ID0008,Darshan,01-01-2025,10:22:05,Payment related,Y,Y,22,38,4
ID0009,Gopal,01-01-2025,11:13:55,Admin Support,Y,Y,15,398,4
ID0010,Jignesh,01-01-2025,11:13:55,Streaming,Y,Y,78,64,3
ID0011,Jatin,01-01-2025,11:15:22,Payment related,N,N,,0,
ID0012,Gopal,01-01-2025,11:15:22,Payment related,Y,Y,50,32,4
ID0013,Jatin,01-01-2025,11:52:48,Payment related,Y,Y,84,214,3
ID0014,Madhuri,01-01-2025,11:52:48,Contract related,Y,Y,89,344,3
ID0015,Bhaskar,01-01-2025,11:55:41,Admin Support,Y,Y,48,227,4
ID0016,Bhaskar,01-01-2025,11:55:41,Admin Support,Y,Y,63,326,2
ID0017,Gopal,01-01-2025,11:57:07,Technical Support,Y,Y,45,332,5
ID0018,Bhaskar,01-01-2025,11:57:07,Admin Support,N,N,,0,
ID0019,Jignesh,01-01-2025,12:01:26,Streaming,N,N,,0,
ID0020,Jignesh,01-01-2025,12:01:26,Contract related,Y,Y,101,147,3
ID0021,Jignesh,01-01-2025,12:02:53,Technical Support,Y,Y,74,322,5
ID0022,Dhruv,01-01-2025,12:02:53,Admin Support,Y,Y,89,350,5
ID0023,Madhuri,01-01-2025,12:02:53,Technical Support,N,N,,0,
ID0024,Jatin,01-01-2025,12:02:53,Technical Support,Y,Y,68,325,2
ID0025,Darshan,01-01-2025,12:30:14,Streaming,Y,Y,97,249,3
ID0026,Dhruv,01-01-2025,12:30:14,Payment related,N,N,,0,
ID0027,Jatin,01-01-2025,12:40:19,Streaming,Y,Y,39,240,3
ID0028,Madhuri,01-01-2025,12:40:19,Contract related,Y,Y,51,154,4
ID0029,Jatin,01-01-2025,12:40:19,Technical Support,Y,Y,106,129,4
ID0030,Sonal,01-01-2025,12:40:19,Streaming,Y,Y,107,355,3
ID0031,Jatin,01-01-2025,13:24:58,Admin Support,Y,Y,22,308,3
ID0032,Jatin,01-01-2025,13:24:58,Streaming,Y,Y,122,128,4
ID0033,Darshan,01-01-2025,13:33:36,Technical Support,Y,Y,57,409,3
ID0034,Jignesh,01-01-2025,13:33:36,Payment related,Y,N,53,104,2
ID0035,Bhaskar,01-01-2025,13:42:14,Streaming,Y,Y,119,91,5
ID0036,Darshan,01-01-2025,13:42:14,Streaming,N,N,,0,
ID0037,Madhuri,01-01-2025,13:42:14,Technical Support,Y,N,20,72,2
ID0038,Jatin,01-01-2025,13:42:14,Technical Support,Y,Y,52,36,3
ID0039,Sonal,01-01-2025,14:38:24,Contract related,Y,Y,74,401,1
ID0040,Gopal,01-01-2025,14:38:24,Technical Support,Y,Y,49,149,3
ID0041,Jignesh,01-01-2025,14:47:02,Technical Support,Y,Y,27,129,5
ID0042,Gopal,01-01-2025,14:47:02,Contract related,Y,Y,100,294,5
ID0043,Darshan,01-01-2025,14:47:02,Technical Support,Y,Y,45,381,3
ID0044,Bhaskar,01-01-2025,14:47:02,Payment related,Y,Y,98,194,5
ID0045,Darshan,01-01-2025,15:44:38,Admin Support,Y,Y,25,313,5
ID0046,Jignesh,01-01-2025,15:44:38,Contract related,N,N,,0,
ID0047,Dhruv,01-01-2025,17:13:55,Admin Support,Y,Y,107,142,3
ID0048,Madhuri,01-01-2025,17:13:55,Contract related,N,N,,0,
ID0049,Jatin,01-01-2025,17:25:26,Technical Support,Y,Y,104,215,5
ID0050,Dhruv,01-01-2025,17:25:26,Technical Support,N,N,,0,
ID0051,Madhuri,01-01-2025,17:35:31,Contract related,N,N,,0,
ID0052,Jignesh,01-01-2025,17:35:31,Admin Support,N,N,,0,
ID0053,Sonal,01-01-2025,17:36:58,Payment related,Y,Y,13,75,5
ID0054,Dhruv,01-01-2025,17:36:58,Payment related,Y,Y,119,152,5
ID0055,Bhaskar,01-01-2025,17:44:10,Streaming,Y,Y,35,79,3
ID0056,Dhruv,01-01-2025,17:44:10,Streaming,Y,Y,83,405,4
ID0057,Jignesh,01-01-2025,17:57:07,Technical Support,Y,Y,48,172,2
ID0058,Sonal,01-01-2025,17:57:07,Admin Support,Y,Y,45,203,5
ID0059,Dhruv,01-02-2025,09:05:46,Technical Support,Y,Y,65,360,5
ID0060,Dhruv,01-02-2025,09:05:46,Contract related,Y,Y,50,266,3
ID0061,Darshan,01-02-2025,09:18:43,Streaming,Y,Y,17,375,3
ID0062,Jatin,01-02-2025,09:18:43,Technical Support,N,N,,0,
ID0063,Dhruv,01-02-2025,09:20:10,Streaming,Y,Y,96,406,1
ID0064,Sonal,01-02-2025,09:20:10,Streaming,Y,Y,90,383,3
ID0065,Jignesh,01-02-2025,09:38:53,Contract related,Y,Y,98,385,2
ID0066,Darshan,01-02-2025,09:38:53,Technical Support,Y,N,90,83,4
ID0067,Jignesh,01-02-2025,10:04:48,Contract related,Y,Y,98,349,5
ID0068,Jignesh,01-02-2025,10:04:48,Contract related,Y,Y,70,192,5
ID0069,Darshan,01-02-2025,10:33:36,Contract related,Y,Y,69,285,4
ID0070,Darshan,01-02-2025,10:33:36,Admin Support,N,N,,0,
ID0071,Jatin,01-02-2025,11:08:10,Technical Support,Y,Y,120,131,4
ID0072,Sonal,01-02-2025,11:08:10,Admin Support,Y,Y,113,351,5
ID0073,Gopal,01-02-2025,11:26:53,Payment related,Y,N,10,139,5
ID0074,Bhaskar,01-02-2025,11:26:53,Contract related,Y,Y,122,293,1
ID0075,Sonal,01-02-2025,11:42:43,Technical Support,Y,N,125,98,3
ID0076,Darshan,01-02-2025,11:42:43,Admin Support,N,N,,0,
ID0077,Madhuri,01-02-2025,11:47:02,Technical Support,Y,Y,33,398,2
ID0078,Dhruv,01-02-2025,11:47:02,Contract related,Y,Y,51,382,2
ID0079,Bhaskar,01-02-2025,11:54:14,Contract related,Y,Y,58,208,3
ID0080,Dhruv,01-02-2025,11:54:14,Admin Support,Y,Y,121,287,5
ID0081,Darshan,01-02-2025,12:00:00,Admin Support,Y,Y,118,126,4
ID0082,Gopal,01-02-2025,12:00:00,Payment related,Y,Y,52,416,4
ID0083,Sonal,01-02-2025,12:20:10,Admin Support,Y,Y,55,284,3
ID0084,Dhruv,01-02-2025,12:20:10,Contract related,Y,Y,68,359,4
ID0085,Bhaskar,01-02-2025,12:41:46,Technical Support,Y,Y,106,262,5
ID0086,Madhuri,01-02-2025,12:41:46,Technical Support,Y,Y,32,276,3
ID0087,Jignesh,01-02-2025,12:44:38,Payment related,N,N,,0,
ID0088,Madhuri,01-02-2025,12:44:38,Admin Support,Y,N,45,86,4
